prompt,answer
Effects of Atropine at 10 mg,"Mad as a hatter!
Skin flushed, hot, dry, scarlet
Iris obliterated
Hallucinations and delirium
Coma"
What type of muscles to NMBDs work on? What areas of the body are included?,"Skeletal muscle, including upper larynx and sphincters of GI tract. They have no effect on the uterus"
Patients can have normal resp. function and still be _____% paralyzed? This correlated with how many TOF twitches?,80%; 2/4 TOF
Which NMDB has the highest efficacy?,"None, they are all the same (100%)"
How does succinylcholine work?,It is essentially acetylcholine - acts on cholinergic receptor and causes muscle depolarization and contraction
How do non-depolarizing NMBDs work?,"Like antagonists, block ACh receptors so other agents (including ACh) cannot act on them. Works at both pre- and post-synaptic ACh receptors"
How does the single twitch test work? What do we use it for?,"Single twitch up to 1 Hz, all or nothing response. Use it for establishing a baseline and onset of paralytic"
How does the TOF test work? What does it reflect?,"4 twitches at 2 Hz, given every half second for 2 seconds. Reflects blockade from 70-100%."
How does the DBS work?,"2 bursts of 50 hz, separated by 0.75 seconds"
How does tetanus work? What is it used for?,"Rapid delivery of 30-, 50-, or 100 Hz. Used for assessment of deep block"
How does PCT work? What is it used for?,"50Hz. tetanus for 5 seconds, a 3 second pause, single twitches of 1Hz each (up to 20 twitches). Used to assess >100% paralysis, <8 twitches signifies a deep block"
"Define onset, clinical duration, and total duration of NMBDs","Onset: administration to max effect
Clinical Duration: administration to 25% recovery
Total Duration: administration to 90% recover"
What is the Gold-Standard TOFR to findicate recovery?,TOFR >0.9
Define recovery index,Time from 25% to 75% recovery of the twitch response
How do you correctly place PNS electrodes?,"Red (positive) goes proximal
Black (negative) goes distal"
"What is the best site to measure onset? 
What is the goal of this reflex?","Onset is measured at the facial nerve.
Orbicularis oculi muscle controls eyelid movement"
What is the best site to measure recovery? What is the goal of this reflex?,"Recovery at the ulnar nerve
Adductor policis muscle controls thumb adduction"
Why do we measure onset at the facial nerve?,"It gets similar cardiac output to the diaphragm, good indicator of when patient is ready for intubation"
Why don't you place leads directly on the muscle?,"It will stimulate the muscle directly! We are not paralyzing muscle, we are paralyzing the nerve-to-muscle connection"
The upper airway muscles are _______ (more/less) sensitive than peripheral muscle?,More
In what muscle sequence do NMBDs produce paralysis?,"1. Eyelids
2. Extremities
3. Chest/intercostals
4. Abdominal muscles
5. Diaphragm"
In what order do muscles recover from NMBDs?,"1. Diaphragm
2. Abdominal muscles
3. Chest/intercostals
4. Extremities
5. Eyelids"
What is the minimum PNS output we should use?,30 mA
What are the quantitative measurements of extubation criteria?,"TOFR >0.9, DBS >0.9"
What are the qualities of a phase I block (depolarizing)?,"Muscle fasciculation
Sustained response to tetanus
No post-tetanic potentiation
No fade to TOF or DBS
Antagonized by pre-treatment of ND-NMBD
Potentiated by anticholinesterase"
What are the qualities of a phase II block (non-depolarizing)?,"No muscle fasciculation
Tetanic fade
Post-tetanic potentiation
TOF and DBS fade
May be produced by overdose and desensitization with succ > 6ml/kg
Anticholinesterase reverses"
What is the TOF ratio when fade is no longer detected in DBS?,0.6-0.7
What is the TOFR when fade is no longer detected in 100Hz tetanus?,0.8-0.9
What % of receptors are occupied by NMBD when Vt > 5ml/kg?,80%
What % of receptors are occupied by NMBD when single twitch is at baseline?,75-80%
What % of receptors are occupied by NMBD when TOF has no fade?,70-75%
What % of receptors are occupied by NMBD when 50hz tetany has no fade or vital capacity >20ml/kg?,70%
What % of receptors are occupied by NMBD when DBS has no fade?,60%
What % of receptors are occupied by NMBD when 100Hz tetany has no fade,50%
What are subjective tests that signify 50% receptor NMBD blockade?,"Head lift >5 sec
Sustained bite (jaw clench on tongue blade)
Hand grip at baseline
NIF <-40cm H2O"
"% paralyzed & time to recovery for the following:
1. 0/4 twitches
2. 1/4 twitches
3. 2-3/4 twitches
4. 4/4 twitches","1. 0 = 100% paralyzed; >30 minutes
2. 1= 90-95% paralyzed; 30 minutes
3. 2-3= 75-80% paralyzed; 3-15minutes (30 panc.)
4. 4=70-75% paralyzed; <5min (neostigmine, 2-3 edroph.)"
What % paralyzed are you if your TOFR is >0.9?,<70%
Why does fade occur with ND-NMBDs?,"Because they block both pre- and post-synaptic ACh receptors. At the pre-synaptic receptors, they inhibit the positive feedback loop of ACh, therefore decreasing the amount of ACh present in the synapse leading to progressive muscle weakness"
Why DOESN'T fade occur with succinylcholine?,It works only on post-synaptic ACh receptors
What is the strongest stimulation test you can use from the PNS box?,Tetany
"If you give tetany and have no hand movement, what does this signify?",Patient is over paralyzed
What nerve stimulation test do you use when the others don't work?,Post-tetanic count
Why does post-tetanic potentiation occur?,Tetany causes local ACh release
"How long until 1 twitch comes back with a PTC of 1?
PTC of 7-8?","PTC 1= 8 minutes (intermediates) or 30 minutes (long)
 PTC 7-8=twitch is imminent"
How is succinylcholine broken down?,"Rapid hydrolysis in the plasma by plasma (aka pseudo-) cholinesterase. THIS IS WHY IT HAS A BRIEF DURATION
Goes from succ > succ. monocholine > succ. acid and choline"
Define cholinesterases,A family of enzymes that hydrolyze esters more quickly than enzymes do at normal conditions
What is the main function of cholinesterase?,To terminate the action of ACh at cholinergic nerve endings in effector organs
What are the two main types of cholinesterase enzymes and where do they work?,"1. Acetylcholinesterase (Type I): synapse of muscle
2. Pseudocholinesterase (Type II): plasma"
What is an esterase enzyme that is NOT a cholinesterase called? What are the 3 types?,"Called a 'non-esterase' or 'other' type
1. RBC esterase
2. Paraxonase
3. Albumin esterase"
"Assuming there is no inhibitor present, what does a decrease in esterase enzyme activity signify?","Impaired synthesis of the enzyme, for example, liver disease"
What are some common anesthesia drugs that are dependent on pseudocholinesterase?,"Succinylcholine
Mivacurium
Ester LA's (drugs with 1 i in name - procaine, tetracaine, etc.)
Neostigmine
Edrophonium"
What are some common anesthesia drugs that are dependent on non-specific esterases?,"Atracurium (& Cis.)
Remifentanil
Clevidipine
Remimazolam"
What drug is dependent on RBC esterase?,Esmolol
"If a patient experiences prolonged apnea following succinylcholine or mivacurium administration, what are the 2 conditions you must differentiate between?",Atypical genetic variant of AChE or low levels of normal AChE
What is 'atypical cholinesterase'? Who has it? What does it cause?,"It is just a normal human variant
It is an atypical form of the cholinesterase enzyme causing slowed metabolism of succinycholine"
What is the most common test we use to look for atypical cholinesterase?,Dibucaine Inhibition Test
How does the Dibucaine Inhibition test work? What is a normal test result and what does it signify?,"Dibucaine is an amide LA that inhibits typical pseudocholinesterase, but NOT atypical. 
Normal DIT= 80% - 80% of AChE activity was inhibited"
What does a dibucaine number of 20 mean?,Patient has atypical cholinesterase since Dibucaine didn't inhibit the patient's enzyme activity
"For people who have atypical cholinesterase, how long does it take them to recover from succinylcholine?",6-12 hours
What two numbers do you get from the Dibucaine inhibition test and what do they mean,"1. Amount of plasma cholinesterase inhibition - this signifies normal vs. abnormal enzyme
2. Acetylcholine activity level - this signifies normal vs. low levels of the enzyme present"
Dibucaine Inhibition Test Results: Low Dibucaine Number + Normal Activity = _________,Atypical enzyme and prolonged apnea
Dibucaine Inhibition Test Results: Normal Dibucaine Number + Low Activity = _________,Normal enzyme with low levels present and prolonged apnea
Dibucaine Inhibition Test Results: Low Dibucaine Dumber + Low Activity = _________,Atypical enzyme with low levels present and prolonged apnea
Dibucaine Inhibition Test Results: Normal Dibucaine Number + Normal Activity =,Normal enzyme and amount (another reason for prolonged apnea must be investigated)
"If patient is heterozygous for Ea (atypical cholinesterase), what does this mean for them? What will their dibucaine number be?","They have the trait - mildly decreased enzyme activity and 50% longer duration of succinylcholine
DIT = 50-69"
"If a patient is homozygous for Ea (atypical cholinesterase), what does this mean for them? What will their dibucaine number be?","They have the atypical enzyme - decreased enzyme activity by 70%, significantly longer duration of succinylcholine (4-24 hours)
DIT= 16-30"
What if the patient is a homozygote F (fluoride PCHe),"Enzyme activity decreased by 60%, moderate prolongation of succinylcholine"
What if the patient is a homozygote S (silent PCHe),"NO enzyme activity, significant prolongation of succ"
Side Effects of Succinylcholine & Rationale,"Hyperkalemia: Transient increase of 0.5mEq/L 
Dysrhythmias: Secondary to hyperkalemia
Myalgia: Fasciculation
Myoglobinemia (Rare): Secondary to MH or Fasiculation
Elevated Intragastric Pressure 
Elevated ICP & IOP
Masseter Spasm: May indicate MH"
What conditions are succinylcholine contraindicated in related to up-regulation of ACh receptors?,"Motor neuron deficit (paralyzed)
Prolonged chemical denervation
Muscle trauma, tumore, inflammation
Thermal trauma/burns (starting 24 hr after)
Disuse atrophy
Severe infection"
Do NOT administer Succinylcholine in the following patient populations: _____________,"Hyperkalemia
Burns >35% TBSA, 3rd degree
Trauma/Rhabdomylosis
Neurological Injury
Renal Failure (related to hyperkalemia)
Severe sepsis (abdominal)
Muscle wasting
MH
DMD
Muscle disorders
Children under 8 (except emergencies)
Atypical pseudocholinesterase
Statins?
Allergy"
Why does mylagia happen with succinylcholine and who is most at risk? What can we do to prevent it? What does this prevention cause?,"Due to asynchronous fasciculation of muscle groups. Most common in healthy, young women.
Give small dose of non-depolarizer - will require 20% more succinylcholine"
"Which relaxants are considered Benzyisoquinolines? 
Which cause histamine release?","-Curium drugs
Atracurium (most) and mivacurium cause histamine release"
Which relaxants are considered steroidals? What drug can be given to reverse them?,"-onium drugs (Panc, Vec, Roc)
Sugammadex can reverse them"
How are atracurium and cisatracurium metabolized?,"Hofmann elimination, nonspecific ester hydrolysis. This makes them good choice in renal and hepatic failure patients. 
Bloodstream initiates hydrolysis when it senses a change in pH and temp upon drug administration"
Where are the metabolites of Atracurium eliminated from?,Through urine and bile
Where is vecuronium metabolized?,Both the liver and kidneys
Where are the metabolites of rocuronium eliminated from?,There are no metabolites from rocuronium!
How is pancuronium eliminated from the body? For who is it contraindicated?,"It is eliminated 85% in the kidneys, so contraindicated in renal failure"
Why are atracurium and cisatracurium so consistent in their durations among differing populations?,Becuase they have non-organ-dependent elimination (Hoffman's)
Vecuronium's action is prolonged with _______ disease?,Liver
Pancuronium's action is prolonged with _______ disease?,Renal
How are succinylcholine and mivacurium metabolized?,Plasma Cholinesterase
The amount of histamine released by atracurium and mivacurium is dependent on what two things?,Dose and Speed of injection
"In order to prophylactically treat drug-induced-histamine release, which receptors must we block?",Both H1 AND H2
What do H1 receptors do? Which drug is an H1-Antagonist?,"Increased capillary permeability
Bronchoconstriction
Intestinal contraction
Negative dromotropic effects
Example: Benadryl"
What do H2 receptors do? Which drug is an H2-Antagonist?,"Increase gastric acid production
Systemic and cerebral vasodilation
Positive inotropic effects
Positive chronotropic effects
Example: Famotidine"
"Atracurium and mivacurium both cause histamine release, what does this do to the cardiovascular system?",Causes tachycardia and hypotension
How does pancuronium affect the cardiovascular system?,It causes catecholamine release - it indirectly causes a sympathomimetic response because it is vagolytic effect
How does succinylcholine affect the cardiovascular system?,"First dose produces tachycardia and arrhythmias
Repeat dosing may cause sudden bradycardia"
What drugs can prolong paralytics?,"AMINOGLYCOSIDE ABX (-mycin)
PCN
Antihypertensives
Antidysrhythmics
VA's
Dantrolene
Mg
Lithium"
How do aminoglycoside abx prolong paralytics?,"They bind to calcium, which causes muscle relaxation"
Intubating dose of drugs is usually _______ the ED95?,3x
"Pancuronium: ED95, Intubating Dose, Onset, Duration","ED95: 0.05
Intubation: 0.8-1.8 
Onset: 2-4min
DOA: 60-90 min*"
"Vecuronium: ED95, Intubating Dose, Onset, Duration","ED95: 0.05
Intubation: .15-2.0
Onset: 2-4min
DOA: 30-60min"
"Cisatracurium: ED95, Intubating Dose, Onset, Duration","ED95: 0.05
Intubation: .15-2.0
Onset: 2-4min
DOA: 30-60min"
"Atracurium: ED95, Intubating Dose, Onset, Duration","ED95: 0.15
Intubation:0.5
Onset:2-4min
DOA: 30-60min"
"Rocuronium: ED95, Intubating Dose, Onset, Duration","ED95: 0.3
Intubation: 0.6-1.0
Onset: 1-1.5min
DOA: 30-60"
"Mivacurium: ED95, Intubating Dose, Onset, Duration","ED95: 0.07
Intubation: 0.2
Onset: 3-5
DOA: 20-40"
"Succinylcholine: ED95, Intubating Dose, Onset, Duration","ED95: 0.5-0.6
Intubation: 1-1.5
Onset: 30-60sec
DOA: 5-15min"
Why do muscle relaxants have such predictable onsets and durations?,Because they are extremely hydrophilic so their properties do not change drastically in various patient populations
What are some signs of RESIDUAL neuromuscular blockade?,"Asynchronus breathing, flapping extremities"
What do NMBDs do to airway upper airway volumes and airway flow?,Decrease them
What is your TOF goal during surgery?,1/4 or 2/4 Twitches or 80-90% Blockade
What metabolic derangements can make it harder to reverse NMBDs?,"Acidosis, hypercarbia, hypoxia, hypothermia"
What PACU drugs can be additive to NMBDs and therefore make reversal difficult?,Opioids and aminoglycoside abx
What are some patient factors putting patients at higher risk for residual NMB?,"Elderly, renal or hepatic disease, NM disorders, anti-seizure meds, gender"
What are some intraoperative factors putting patients at higher risk for residual NMB?,"Long acting paralytics, qualitative (vs. quantitative) monitoring, TOF 1-2 deep (vs. TOF 3-4 light), inhalation anesthesia (vs. IV)"
What metabolic derangements put patients at higher risk for residual NMB?,"Respiratory Acidosis
Metabolic Alkalosis
Hypothermia"
"If it has been less than ________ since you gave your relaxant, you should give at least a small dose of Neostigmine, even if recovery appears adequate",4 hours
"Neostigmine: Dose, Onset, Duration, Adverse effects, Max","Dose: 25-75 mcg/kg (.025-0.075mg/kg)
Onset: 5-15min
Duration: 45-90min
AE: increased PONV
MAX: 5mg"
"Edrophonium: Dose, Onset, Duration, Adverse effects, Max","Dose: 500-1000mcg/kg (0.5-1.0 mg/kg)
Onset: 5-10 min
Duration: 30-60min
AE: NOT for deep block
MAX: 1mg/kg"
"Atropine: Dose, Onset, Duration, Adverse effects
What anticholesterase is Atropine often paired with due to its quick MOA?","Dose: 15mcg/kg 
Onset: 1-2 min
Duration: 1-2 hour
AE: tachycardia
Often administered with Edrophonium"
"Glycopyrrolate: Dose, Onset, Duration, Adverse effects
What anticholesterase is Glyco often paired with due to its longer MOA?","GLYCOPYRROLATE
Dose: 10-20mcg/kg
Onset: 2 min
Duration: 2-4 hour
AE: dry mouth, no CNS effects
Often administered with Neostigmine"
Sugammadex,"Dose: 2-8mg/kg
Onset: 1-2min
Duration: 2-16 hour
AE: ONLY reverses steroidals (-oniums)"
How does neostigmine work?,"It is an alternate substrate, it acts like ACh. AChE is busy breaking down neostigmine SLOWLY, it can't break down ACh. This allows ACh to build up in the synapse, and eventually take the place of the paralytic at the receptors due to the law of mass action"
Why can't you use Edrophonium for deep blocks?,It does not have 100% efficacy
Why are the max doses of the reversal agents relevant?,"Because at the max dose, 100% inhibition of AChE occurs. Anything above this dose will only increase side effects. If the max dose doesn't work, the reversal isn't the issue!"
Why do we give glycopyrrolate with neostigmine?,"Neostigmine allows ACh to build up EVERYWHERE, including muscarinic receptors in the parasympathetic nervous system - this will cause a vagal effect (bradycardia, increased GI motility, bronchoconstriction)
Glyco will counteract the vagal effect at the muscarinic receptors (anti-cholinergics should really be called anti-muscarinics!)"
What type of drug is Sugammadex? How does it work?,"It is a Selective Relaxant Binding Agent (SRBA) - also called an extended cyclodextrin
It works by irreversibly binding to steroidal relaxants, forming a water-soluble complex that is then excreted renally"
What is an emergent dose of Sugammadex? When is this indicated?,"16mg/kg
Cannot intubate, Cannot ventilate scenario!"
If a patient has a deep block (TOF 1-2) what is an appropriate dose of Sugammadex?,4mg/kg
What is the most common dose of sugammadex?,2mg/kg
What is the dose of sugammadex used for a TOFR= 0.5,0.22mg/kg
"What is the clearance, Vd, and HL of Sugammadex?","Clearance=120ml/min
Vd=18L (water soluble)
HL: 2.3hours (80% eliminated within 24 hrs)"
What are the adverse effects of sugammadex?,"Dry mouth
N/V
Coughing
Hypotension
tachycardia (then bradycardia)
hyperkalemia
chills/temp changing sensation
Acetylglucosamanidase in urine"
"If somebody is allergy to sugammadex, what symptoms will they have?","Flushing, tachycardia, erythematous rash"
What are the drug interactions to be cautious of with sugammadex?,"Binds to both steroids and oral contraceptives
Patient must use protection for 30 days after receiving sugammadex"
"There are 2 populations of nicotinic receptors at the NMJ, which do non-depolarizing NMBs work on and which do succinylcholine work on?","ND-NMBD compete with ACh for post-synaptic alpha subunits
Succ produces depolarization, therefore decreasing the sensitivity of post-synaptic nicotinic ACh receptors and inactivation of Na channels"
Decreased response to a single twitch is caused by blockade of _______ nicotinic ACh receptors?,Post-synaptic
Fade in response to TOF is caused by blockade of _______ nicotinic ACh receptors?,Pre-synaptic
Why does Succ have rapid onset and ultrashort duration of action?,Rapid hydrolysis by plasma cholinesterase (butyrylcholinesterase)
Speed of onset is ________ proportional to the potency of the NMBD? Why?,"Inversely
More potent = giving less = fewer molecules present = takes longer for molecules to circulate"
"NMBD onsets and offset is ______ in centrally located compartments, as compared to peripherally located ones.",Faster
Why do intermidiate acting NMBDs have more rapid clearance than long acting ones?,"Long acting NMBDs are cleared mostly unchanged by the kidneys. 
Intermediate acting NMBDs have multiple pathways of clearance and elimination, making them clear faster"
"If myalgia is a concern or the patient is very muscular, what can you do when giving succ to prevent fasciculation?",Give small dose of intermediate acting ND-NMBD
How fast can a high dose (RSI) of Roc create intubating conditions?,60 seconds
"If a patient comes in with open eye surgery requiring RSI, can you give Succ?","Yes! But it will increase the IOP. Give propofol first to decrease it, then succinylcholine."
What class of drugs prolong succinylcholine due to their anticholinesterase activity in the brain?,"Alzheimer's Drugs: Donepezil, Rivastigmine, Galantamine, Tacrine"
What is phsyostigmine and how does it work?,"An anticholinesterase that CAN pass the BBB, unlike neostigmine - it increases ACh in the brain, creating a stimulatory effect"
